name,year,genre,runtime,rating,num_votes,revenue,director,actor1,actor2,actor3,rated
cars,2006,Animation,117,7.2,191456,244000000.0,John Lasseter,Joe Ranft,Owen Wilson,Bonnie Hunt,G
bruce almighty,2003,Comedy,101,6.7,242569,243000000.0,Tom Shadyac,Jim Carrey,Jennifer Aniston,Morgan Freeman,PG_13
twister,1996,Action,113,6.2,127742,242000000.0,Jan de Bont,Helen Hunt,Bill Paxton,Cary Elwes,PG_13
my big fat greek wedding,2002,Comedy,95,6.6,86968,241000000.0,Joel Zwick,Nia Vardalos,John Corbett,Michael Constantine,PG
maleficent,2014,Action,97,7.1,153037,241000000.0,Robert Stromberg,Angelina Jolie,Elle Fanning,Sharlto Copley,PG
pirates of the caribbean: on stranger tides,2011,Action,136,6.7,290545,241000000.0,Rob Marshall,Johnny Depp,PenÃ©lope Cruz,Ian McShane,PG_13
shrek forever after,2010,Animation,93,6.4,111038,238000000.0,Mike Mitchell,Mike Myers,Cameron Diaz,Eddie Murphy,PG
brave,2012,Animation,93,7.2,199580,237000000.0,Mark Andrews,Brenda Chapman,Kelly Macdonald,Billy Connolly,PG
oz the great and powerful,2013,Adventure,130,6.4,155275,235000000.0,Sam Raimi,James Franco,Michelle Williams,Rachel Weisz,PG
beverly hills cop,1984,Action,105,7.3,105001,235000000.0,Martin Brest,Eddie Murphy,Judge Reinhold,John Ashton,R
x-men: the last stand,2006,Action,104,6.8,302756,234000000.0,Brett Ratner,Patrick Stewart,Hugh Jackman,Halle Berry,PG_13
war of the worlds,2005,Adventure,116,6.5,277862,234000000.0,Steven Spielberg,Tom Cruise,Dakota Fanning,Tim Robbins,PG_13
x-men: days of future past,2014,Action,131,8.2,299592,234000000.0,Bryan Singer,Patrick Stewart,Ian McKellen,Hugh Jackman,PG_13
cast away,2000,Adventure,143,7.7,314604,234000000.0,Robert Zemeckis,Tom Hanks,Helen Hunt,Paul Sanchez,PG_13
ghostbusters,1984,Comedy,105,7.8,217360,229000000.0,Ivan Reitman,Bill Murray,Dan Aykroyd,Sigourney Weaver,TV_PG
the lost world: jurassic park,1997,Action,129,6.4,205153,229000000.0,Steven Spielberg,Jeff Goldblum,Julianne Moore,Pete Postlethwaite,PG_13
star trek into darkness,2013,Action,132,7.9,319904,229000000.0,J.J. Abrams,Chris Pine,Zachary Quinto,Zoe Saldana,PG_13
signs,2002,Drama,106,6.7,238024,228000000.0,M. Night Shyamalan,Mel Gibson,Joaquin Phoenix,Rory Culkin,PG_13
hancock,2008,Action,92,6.5,263560,228000000.0,Peter Berg,Will Smith,Charlize Theron,Jason Bateman,R
the bourne ultimatum,2007,Action,115,8.1,386913,227000000.0,Paul Greengrass,Matt Damon,Ãdgar RamÃ­rez,Joan Allen,PG_13
rush hour 2,2001,Action,90,6.6,136136,226000000.0,Brett Ratner,Jackie Chan,Chris Tucker,John Lone,PG_13
national treasure: book of secrets,2007,Action,124,6.5,155702,220000000.0,Jon Turteltaub,Nicolas Cage,Diane Kruger,Justin Bartha,PG
alvin and the chipmunks: the squeakquel,2009,Animation,88,4.4,24662,220000000.0,Betty Thomas,Jason Lee,Zachary Levi,David Cross,PG
mrs. doubtfire,1993,Comedy,125,6.8,145197,219000000.0,Chris Columbus,Robin Williams,Sally Field,Pierce Brosnan,PG_13
beauty and the beast,1991,Animation,84,8.1,235178,219000000.0,Gary Trousdale,Kirk Wise,Paige O'Hara,Robby Benson,G
beauty and the beast,2014,Fantasy,112,6.4,5128,219000000.0,Gary Trousdale,Kirk Wise,Paige O'Hara,Robby Benson,G
ted,2012,Comedy,106,7.1,371556,219000000.0,Seth MacFarlane,Mark Wahlberg,Mila Kunis,Seth MacFarlane,R
king kong,2005,Action,187,7.3,272689,218000000.0,Peter Jackson,Naomi Watts,Jack Black,Adrien Brody,PG_13
king kong,1976,Adventure,134,5.8,19039,218000000.0,Peter Jackson,Naomi Watts,Jack Black,Adrien Brody,PG_13
ghost,1990,Drama,127,7,133172,218000000.0,Jerry Zucker,Patrick Swayze,Demi Moore,Whoopi Goldberg,PG_13
the da vinci code,2006,Mystery,149,6.5,258020,218000000.0,Ron Howard,Tom Hanks,Audrey Tautou,Jean Reno,PG_13
