Star Trek Into Darkness,229000000.0,J.J. Abrams,Chris Pine,Zachary Quinto,Zoe Saldana,PG_13
Signs,228000000.0,M. Night Shyamalan,Mel Gibson,Joaquin Phoenix,Rory Culkin,PG_13
Hancock,228000000.0,Peter Berg,Will Smith,Charlize Theron,Jason Bateman,R
The Bourne Ultimatum,227000000.0,Paul Greengrass,Matt Damon,Ãdgar RamÃ­rez,Joan Allen,PG_13
Rush Hour 2,226000000.0,Brett Ratner,Jackie Chan,Chris Tucker,John Lone,PG_13
WALL·E,224000000.0,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,G
National Treasure: Book of Secrets,220000000.0,Jon Turteltaub,Nicolas Cage,Diane Kruger,Justin Bartha,PG
Alvin and the Chipmunks: The Squeakquel,220000000.0,Betty Thomas,Jason Lee,Zachary Levi,David Cross,PG
Mrs. Doubtfire,219000000.0,Chris Columbus,Robin Williams,Sally Field,Pierce Brosnan,PG_13
Beauty and the Beast,219000000.0,Gary Trousdale,Kirk Wise,Paige O'Hara,Robby Benson,G
Ted,219000000.0,Seth MacFarlane,Mark Wahlberg,Mila Kunis,Seth MacFarlane,R
King Kong,218000000.0,Peter Jackson,Naomi Watts,Jack Black,Adrien Brody,PG_13
Ghost,218000000.0,Jerry Zucker,Patrick Swayze,Demi Moore,Whoopi Goldberg,PG_13
The Da Vinci Code,218000000.0,Ron Howard,Tom Hanks,Audrey Tautou,Jean Reno,PG_13
How to Train Your Dragon,217000000.0,Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,PG
Aladdin,217000000.0,Ron Clements,John Musker,Scott Weinger,Robin Williams,G
Alvin and the Chipmunks,217000000.0,Tim Hill,Jason Lee,David Cross,Cameron Richardson,PG
Madagascar 3: Europe's Most Wanted,216000000.0,Eric Darnell,Tom McGrath,Ben Stiller,Jada Pinkett Smith,PG
Saving Private Ryan,216000000.0,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,R
