Click,2006,Comedy,107,6.4,201625
Back to the Future Part III,1990,Adventure,118,7.4,201491
As Good as It Gets,1997,Comedy,139,7.8,201327
Total Recall,1990,Action,113,7.5,201181
Downfall,2004,Biography,156,8.3,201055
Aladdin,1992,Animation,90,8.0,200752
RED,2010,Action,111,7.1,200644
True Grit,2010,Adventure,110,7.7,200535
Rush,2013,Action,123,8.2,200379
Mulholland Dr.,2001,Drama,147,8.0,199328
Jackie Brown,1997,Crime,154,7.5,198546
Les Mis&#xE9;rables,2012,Drama,158,7.7,198368
Moulin Rouge!,2001,Drama,127,7.7,197658
Clash of the Titans,2010,Action,106,5.8,197180
Wreck-It Ralph,2012,Animation,101,7.8,197189
Seven Pounds,2008,Drama,123,7.7,197096
Brave,2012,Animation,93,7.2,196710
The Transporter,2002,Action,92,6.8,196347
"Crouching Tiger, Hidden Dragon",2000,Action,120,7.9,195551
Public Enemies,2009,Biography,140,7.0,195282
Donnie Brasco,1997,Biography,127,7.8,195006
Constantine,2005,Drama,121,6.9,194535
The Grand Budapest Hotel,2014,Comedy,100,8.2,194307
Vertigo,1958,Mystery,128,8.4,193685
Starship Troopers,1997,Action,129,7.2,192034
Con Air,1997,Action,115,6.8,191608
Eyes Wide Shut,1999,Drama,159,7.3,191608
The Twilight Saga: New Moon,2009,Adventure,130,4.6,191415
Mission: Impossible II,2000,Action,123,6.0,190253
The Deer Hunter,1978,Drama,182,8.2,189371
Cars,2006,Animation,117,7.2,189202
The Untouchables,1987,Crime,119,8.0,188861
"O Brother, Where Art Thou?",2000,Adventure,106,7.8,188899
Snow White and the Huntsman,2012,Action,127,6.2,188839
Raging Bull,1980,Biography,129,8.3,188479
Moonrise Kingdom,2012,Comedy,94,7.8,188155
Forgetting Sarah Marshall,2008,Comedy,111,7.2,187931
Mean Girls,2004,Comedy,97,7.0,187507
The Nightmare Before Christmas,1993,Animation,76,8.1,187387
Scream,1996,Horror,111,7.2,187342
Seven Samurai,1954,Drama,207,8.7,187190
Gone in Sixty Seconds,2000,Action,118,6.4,186935
The Bourne Legacy,2012,Action,135,6.7,186244
The Fugitive,1993,Action,130,7.8,186105
The Book of Eli,2010,Action,118,6.9,185713
Green Lantern,2011,Action,114,5.7,185582
Insomnia,2002,Crime,118,7.2,185320
Stardust,2007,Adventure,127,7.7,184393
Fear and Loathing in Las Vegas,1998,Comedy,118,7.7,183841
The Mist,2007,Horror,126,7.2,183739
Hellboy II: The Golden Army,2008,Action,120,7.1,183088
Law Abiding Citizen,2009,Crime,109,7.4,182531
Hannibal,2001,Crime,131,6.7,181987
Prince of Persia: The Sands of Time,2010,Action,116,6.6,181867
Bridesmaids,2011,Comedy,125,6.8,181359
Robin Hood,2010,Action,140,6.7,181287
Top Gun,1986,Action,110,6.8,181145
The A-Team,2010,Action,117,6.8,180758
John Carter,2012,Action,132,6.6,180732
Vanilla Sky,2001,Fantasy,136,6.9,180588
The Boondock Saints,1999,Action,108,7.9,180510
1408,2007,Horror,104,6.8,180484
The Descendants,2011,Comedy,115,7.4,180195
28 Weeks Later,2007,Horror,100,7.0,180138
Gattaca,1997,Drama,106,7.8,180034
Meet the Fockers,2004,Comedy,115,6.3,179930
North by Northwest,1959,Mystery,136,8.5,179891
10 Things I Hate About You,1999,Comedy,97,7.2,179649
Kingdom of Heaven,2005,Action,144,7.2,179168
Red Dragon,2002,Crime,124,7.2,178940
Zero Dark Thirty,2012,Drama,157,7.4,178880
From Dusk Till Dawn,1996,Action,108,7.3,178242
Night at the Museum,2006,Action,108,6.4,178230
Divergent,2014,Action,139,6.9,178261
Role Models,2008,Comedy,99,6.9,177758
Thank You for Smoking,2005,Comedy,92,7.6,177579
Fantastic 4: Rise of the Silver Surfer,2007,Action,92,5.6,177622
Hulk,2003,Action,138,5.7,177160
Batman Returns,1992,Action,126,7.0,177023
Underworld,2003,Action,121,7.0,176815
Almost Famous,2000,Drama,122,8.0,176661
Jack Reacher,2012,Action,130,7.0,176686
Apollo 13,1995,Adventure,140,7.6,175916
The Graduate,1967,Comedy,106,8.1,175911
Liar Liar,1997,Comedy,86,6.8,175529
Changeling,2008,Drama,141,7.8,175296
Unknown,2011,Action,113,6.9,175297
The Proposal,2009,Comedy,108,6.7,175203
A Bug&#x27;s Life,1998,Animation,95,7.2,174995
Panic Room,2002,Drama,112,6.8,174974
The Road to Perdition,2002,Crime,117,7.8,174913
The Royal Tenenbaums,2001,Comedy,110,7.6,174887
The Blind Side,2009,Biography,129,7.7,174786
Step Brothers,2008,Comedy,98,6.9,174556
The Patriot,2000,Action,165,7.1,174385
Death Proof,2007,Action,113,7.1,174222
Office Space,1999,Comedy,89,7.9,174143
The Dictator,2012,Comedy,83,6.4,174083
Once Upon a Time in America,1984,Crime,229,8.4,174045
Chinatown,1974,Drama,130,8.3,173876
Garden State,2004,Comedy,102,7.6,173525
Ace Ventura: Pet Detective,1994,Comedy,86,6.9,173581
Phone Booth,2002,Mystery,81,7.1,173171
The Secret Life of Walter Mitty,2013,Adventure,114,7.4,173175
Battleship,2012,Action,131,5.9,172930
The Grey,2011,Adventure,117,6.8,172823
The Adjustment Bureau,2011,Fantasy,106,7.1,172289
Once Upon a Time in the West,1968,Western,175,8.7,172138
Pretty Woman,1990,Comedy,119,6.9,171687
Total Recall,2012,Action,118,6.3,171609
School of Rock,2003,Comedy,108,7.1,171554
Pitch Black,2000,Action,109,7.1,171429
Resident Evil,2002,Action,100,6.7,171098
Chronicle,2012,Drama,84,7.1,170970
American Pie 2,2001,Comedy,108,6.4,170843
Sucker Punch,2011,Action,110,6.1,170750
Taken 2,2012,Action,92,6.3,169997
Angels &#x26; Demons,2009,Mystery,138,6.7,169555
GoldenEye,1995,Action,130,7.2,169491
Eastern Promises,2007,Crime,100,7.7,169067
Stranger Than Fiction,2006,Comedy,113,7.7,168903
21,2008,Biography,123,6.8,168879
Dredd,2012,Action,95,7.0,168751
To Kill a Mockingbird,1962,Drama,129,8.4,168726
Old School,2003,Comedy,91,7.2,168554
Princess Mononoke,1997,Animation,134,8.4,167907
Shrek the Third,2007,Animation,93,6.0,167893
Disturbia,2007,Drama,105,6.9,167703
Blow,2001,Biography,124,7.6,167644
Monsters University,2013,Animation,104,7.4,167548
The Ides of March,2011,Drama,101,7.2,167392
The Fountain,2006,Drama,96,7.4,166443
The Village,2004,Drama,108,6.5,166280
Dawn of the Dead,2004,Action,101,7.4,165914
Lethal Weapon,1987,Action,110,7.6,165844
Interstellar,2014,Adventure,169,9.0,176914
Contact,1997,Drama,150,7.4,165625
Alien&#xB3;,1992,Action,114,6.4,165520
Scent of a Woman,1992,Drama,156,8.0,165410
Walk the Line,2005,Biography,136,7.9,165327
Crank,2006,Action,88,7.0,165333
Notting Hill,1999,Comedy,124,7.0,165389
RocknRolla,2008,Action,114,7.3,164784
Enemy of the State,1998,Action,132,7.3,164354
I Am Number Four,2011,Action,109,6.1,164112
Lincoln,2012,Biography,150,7.4,163900
A History of Violence,2005,Crime,96,7.5,163861
Knowing,2009,Action,121,6.2,163794
Dark Shadows,2012,Comedy,113,6.3,163598
Perfume: The Story of a Murderer,2006,Crime,147,7.5,162980
Dogma,1999,Adventure,130,7.4,162792
Atonement,2007,Drama,123,7.8,162706
The Reader,2008,Drama,124,7.6,162367
21 Grams,2003,Crime,124,7.7,162230
Vicky Cristina Barcelona,2008,Drama,96,7.2,161811
Clerks.,1994,Comedy,92,7.9,161588
The Chronicles of Riddick,2004,Action,119,6.7,161427
Jurassic Park III,2001,Action,92,5.9,161159
Batman &#x26; Robin,1997,Action,125,3.6,161102
Gone Baby Gone,2007,Crime,114,7.7,161072
True Lies,1994,Action,141,7.2,160529
Batman Forever,1995,Action,121,5.4,160463
The Blair Witch Project,1999,Horror,81,6.4,160403
Saw II,2005,Horror,93,6.6,159798
The Passion of the Christ,2004,Drama,127,7.1,159725
