name	year	genre	runtime	rating	num_votes	img_src	revenue	director	actor1	actor2	actor3	rated
guardians of the galaxy	2014	Action	121	8.3	317382	http://ia.media-imdb.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1._SX54_CR0,0,54,74_.jpg	3.32e+08	James Gunn	Chris Pratt	Vin Diesel	Bradley Cooper	PG_13
forrest gump	1994	Drama	142	8.8	927460	http://ia.media-imdb.com/images/M/MV5BMTQwMTA5MzI1MF5BMl5BanBnXkFtZTcwMzY5Mzg3OA@@._V1._SX54_CR0,0,54,74_.jpg	3.3e+08	Robert Zemeckis	Tom Hanks	Robin Wright	Gary Sinise	PG_13
shrek the third	2007	Animation	93	6	169863	http://ia.media-imdb.com/images/M/MV5BMTMyMjE1Mjc1NF5BMl5BanBnXkFtZTcwMzY0MjEzMw@@._V1._SX54_CR0,0,54,74_.jpg	3.21e+08	Chris Miller	Raman Hui	Mike Myers	Cameron Diaz	PG
transformers	2007	Action	144	7.2	436011	http://ia.media-imdb.com/images/M/MV5BMTQwNjU5MzUzNl5BMl5BanBnXkFtZTYwMzc1MTI3._V1._SX54_CR0,0,54,74_.jpg	3.19e+08	Michael Bay	Shia LaBeouf	Megan Fox	Josh Duhamel	PG_13
iron man	2008	Action	126	7.9	533631	http://ia.media-imdb.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1._SX54_CR0,0,54,74_.jpg	3.18e+08	Jon Favreau	Robert Downey Jr.	Gwyneth Paltrow	Terrence Howard	PG_13
indiana jones and the kingdom of the crystal skull	2008	Action	122	6.3	275954	http://ia.media-imdb.com/images/M/MV5BMTIxNDUxNzcyMl5BMl5BanBnXkFtZTcwNTgwOTI3MQ@@._V1._SX54_CR0,0,54,74_.jpg	3.17e+08	Steven Spielberg	Harrison Ford	Cate Blanchett	Shia LaBeouf	PG_13
the lord of the rings: the fellowship of the ring	2001	Adventure	178	8.8	977145	http://ia.media-imdb.com/images/M/MV5BNTEyMjAwMDU1OV5BMl5BanBnXkFtZTcwNDQyNTkxMw@@._V1._SX54_CR0,0,54,74_.jpg	3.14e+08	Peter Jackson	Elijah Wood	Ian McKellen	Orlando Bloom	PG_13
iron man 2	2010	Action	124	7.1	391887	http://ia.media-imdb.com/images/M/MV5BMTM0MDgwNjMyMl5BMl5BanBnXkFtZTcwNTg3NzAzMw@@._V1._SX54_CR0,0,54,74_.jpg	3.12e+08	Jon Favreau	Robert Downey Jr.	Mickey Rourke	Gwyneth Paltrow	PG_13
star wars: episode ii - attack of the clones	2002	Action	142	6.8	352113	http://ia.media-imdb.com/images/M/MV5BMTY5MjI5NTIwNl5BMl5BanBnXkFtZTYwMTM1Njg2._V1._SY74_CR1,0,54,74_.jpg	3.11e+08	George Lucas	Hayden Christensen	Natalie Portman	Ewan McGregor	PG
star wars: episode vi - return of the jedi	1983	Action	134	8.4	496879	http://ia.media-imdb.com/images/M/MV5BMjE5MTM3ODU5MV5BMl5BanBnXkFtZTcwOTYzNjk2OQ@@._V1._SX54_CR0,0,54,74_.jpg	3.09e+08	Richard Marquand	Mark Hamill	Harrison Ford	Carrie Fisher	PG
independence day	1996	Action	145	6.9	356911	http://ia.media-imdb.com/images/M/MV5BMTMwODY3NzQzNF5BMl5BanBnXkFtZTcwNzUxNjc0MQ@@._V1._SX54_CR0,0,54,74_.jpg	3.06e+08	Roland Emmerich	Will Smith	Bill Pullman	Jeff Goldblum	PG_13
pirates of the caribbean: the curse of the black pearl	2003	Action	143	8.1	640422	http://ia.media-imdb.com/images/M/MV5BMjAyNDM4MTc2N15BMl5BanBnXkFtZTYwNDk0Mjc3._V1._SX54_CR0,0,54,74_.jpg	3.05e+08	Gore Verbinski	Johnny Depp	Geoffrey Rush	Orlando Bloom	PG_13
skyfall	2012	Action	143	7.8	417736	http://ia.media-imdb.com/images/M/MV5BMjAyODkzNDgzMF5BMl5BanBnXkFtZTcwMDMxMDI4Nw@@._V1._SX54_CR0,0,54,74_.jpg	3.04e+08	Sam Mendes	Daniel Craig	Javier Bardem	Naomie Harris	PG_13
the hobbit: an unexpected journey	2012	Adventure	169	8	500014	http://ia.media-imdb.com/images/M/MV5BMTcwNTE4MTUxMl5BMl5BanBnXkFtZTcwMDIyODM4OA@@._V1._SX54_CR0,0,54,74_.jpg	3.03e+08	Peter Jackson	Martin Freeman	Ian McKellen	Richard Armitage	PG_13
harry potter and the half-blood prince	2009	Adventure	153	7.5	254267	http://ia.media-imdb.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1._SX54_CR0,0,54,74_.jpg	3.02e+08	David Yates	Daniel Radcliffe	Emma Watson	Rupert Grint	PG
